OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ord200016,2023-01-24,c28976,printer,2,533.81,914 main st,credit card,pending,trk13194259,3,freeship,email,1067.62
ord200017,2024-03-02,c60672,tablet,1,423.4,382 main st,debit card,shipped,trk11972116,3,freeship,referral,423.4
ord200018,2025-03-26,c84329,desk,1,431.44,891 main st,gift card,pending,trk65191045,3,save10,facebook,431.44
ord200019,2023-01-23,c14552,monitor,5,224.0,273 main st,cash,returned,trk59101365,9,save10,google,1120.0
ord200020,2023-05-08,c54829,chair,5,62.51,587 main st,cash,pending,trk16718651,9,winter15,instagram,312.55
ord200021,2024-11-17,c99023,monitor,4,342.95,569 main st,cash,delivered,trk52646983,6,freeship,google,1371.8
ord200022,2023-01-29,c34416,monitor,2,49.62,633 main st,online,pending,trk75937350,2,save10,google,99.24
ord200023,2025-04-09,c42372,phone,4,273.25,755 main st,debit card,cancelled,trk36168083,5,freeship,referral,1093.0
ord200024,2024-10-30,c17470,laptop,2,230.95,956 main st,online,delivered,trk28775057,3,winter15,referral,461.9
ord200025,2024-07-24,c42577,monitor,1,399.98,709 main st,debit card,delivered,trk69423327,3,winter15,email,399.98
ord200026,2024-03-06,c21944,laptop,5,59.55,296 main st,online,delivered,trk80276812,6,freeship,referral,297.75
ord200027,2024-02-22,c97593,printer,1,472.74,881 main st,online,shipped,trk89117573,6,winter15,google,472.74
ord200028,2023-11-21,c59823,phone,4,160.07,568 main st,online,pending,trk65895539,5,freeship,email,640.28
ord200029,2024-09-20,c33260,desk,3,423.53,930 main st,credit card,delivered,trk59744090,6,save10,referral,1270.59
ord200030,2025-03-22,c44267,monitor,2,426.7,895 main st,online,pending,trk54751444,5,save10,referral,853.4
ord200031,2023-06-30,c26445,chair,3,500.08,996 main st,debit card,returned,trk31229981,6,freeship,facebook,1500.24
ord200032,2023-05-01,c12388,tablet,5,536.72,830 main st,cash,delivered,trk99261395,10,freeship,email,2683.6
ord200033,2023-06-05,c52184,chair,1,162.77,912 main st,online,cancelled,trk73312471,4,winter15,facebook,162.77
ord200034,2023-01-07,c67195,chair,4,576.52,926 main st,credit card,pending,trk55467915,5,winter15,facebook,2306.08
ord200035,2024-12-07,c50304,monitor,2,465.15,128 main st,online,shipped,trk46850888,2,save10,facebook,930.3
ord200036,2025-05-08,c59337,laptop,2,534.43,465 main st,debit card,pending,trk50961250,5,freeship,facebook,1068.86
ord200037,2024-10-14,c10054,laptop,2,76.74,409 main st,cash,returned,trk94005261,7,save10,instagram,153.48
ord200038,2024-12-19,c15924,laptop,1,245.89,549 main st,debit card,delivered,trk14835975,3,save10,google,245.89
ord200039,2025-02-27,c96664,printer,3,256.46,666 main st,credit card,delivered,trk85508960,4,save10,referral,769.38
ord200040,2023-08-20,c84766,desk,2,344.02,267 main st,online,delivered,trk78967923,4,freeship,instagram,688.04
ord200041,2023-12-05,c20212,monitor,3,611.45,657 main st,gift card,pending,trk69733327,4,freeship,instagram,1834.35
ord200042,2024-05-06,c28712,printer,2,151.66,980 main st,cash,cancelled,trk40772558,6,freeship,instagram,303.32
ord200043,2023-12-14,c60572,chair,3,499.21,871 main st,online,cancelled,trk20351666,8,freeship,instagram,1497.63
ord200044,2025-04-21,c73225,phone,2,550.18,996 main st,gift card,returned,trk73848522,3,freeship,referral,1100.36
ord200045,2024-02-10,c17388,chair,1,317.25,157 main st,debit card,returned,trk47077395,1,save10,facebook,317.25
ord200046,2024-06-26,c43212,monitor,4,550.14,223 main st,debit card,pending,trk25100762,4,freeship,instagram,2200.56
ord200047,2023-07-19,c38134,desk,2,209.94,323 main st,credit card,returned,trk42450754,3,freeship,email,419.88
ord200048,2023-08-26,c12408,monitor,2,80.77,464 main st,debit card,shipped,trk38938858,4,freeship,google,161.54
ord200049,2023-10-07,c11985,printer,1,30.44,633 main st,credit card,shipped,trk53272402,1,save10,email,30.44
ord200050,2023-07-31,c96494,tablet,1,179.22,446 main st,online,cancelled,trk14675049,6,freeship,instagram,179.22
ord200051,2024-12-30,c36778,tablet,1,388.33,434 main st,cash,returned,trk67610289,2,save10,facebook,388.33
ord200052,2024-09-08,c30513,tablet,1,586.44,232 main st,online,returned,trk64320429,5,save10,facebook,586.44
ord200053,2024-05-18,c67551,phone,4,488.78,512 main st,online,returned,trk94992552,5,freeship,google,1955.12
ord200054,2025-03-27,c48120,chair,1,280.25,623 main st,online,pending,trk11014449,5,winter15,email,280.25
ord200055,2025-06-24,c95984,printer,3,344.4,565 main st,online,cancelled,trk67434829,3,freeship,facebook,1033.2
ord200056,2023-05-21,c54298,tablet,3,479.21,566 main st,cash,cancelled,trk62902341,5,winter15,referral,1437.63
ord200057,2023-01-22,c88036,printer,5,314.27,842 main st,cash,returned,trk52470128,6,save10,instagram,1571.35
ord200058,2023-01-15,c60190,phone,4,474.69,202 main st,gift card,cancelled,trk70857868,6,save10,google,1898.76
ord200059,2024-09-11,c97603,chair,4,593.27,811 main st,online,shipped,trk47055028,5,freeship,facebook,2373.08
ord200060,2024-08-21,c39256,desk,1,417.1,634 main st,debit card,returned,trk23412025,3,freeship,referral,417.1
ord200061,2024-03-24,c61618,desk,4,122.2,104 main st,cash,delivered,trk43458485,7,freeship,facebook,488.8
ord200062,2023-08-22,c36497,desk,2,43.15,691 main st,debit card,pending,trk12102911,3,winter15,email,86.3
ord200063,2025-02-02,c96695,chair,1,564.86,813 main st,debit card,shipped,trk64283851,6,winter15,referral,564.86
ord200064,2025-06-25,c49720,printer,3,130.61,752 main st,debit card,cancelled,trk55785217,4,freeship,facebook,391.83
ord200065,2023-12-30,c97735,monitor,5,81.7,385 main st,credit card,delivered,trk13743703,6,freeship,instagram,408.5
ord200066,2024-11-15,c18104,chair,5,127.18,715 main st,cash,cancelled,trk15488568,9,save10,referral,635.9
ord200067,2024-12-09,c25587,printer,4,12.1,440 main st,debit card,cancelled,trk55105323,8,freeship,google,48.4
ord200068,2023-12-11,c41598,chair,3,490.92,709 main st,credit card,pending,trk81665940,5,freeship,email,1472.76
ord200069,2023-05-11,c43338,monitor,3,478.65,552 main st,online,shipped,trk35241775,4,freeship,referral,1435.95
ord200070,2023-05-26,c25123,desk,1,629.21,384 main st,gift card,pending,trk27812282,2,freeship,instagram,629.21
ord200071,2025-06-10,c37454,monitor,3,434.45,923 main st,credit card,pending,trk28252730,4,freeship,referral,1303.35
ord200072,2024-12-22,c19451,tablet,4,589.44,942 main st,gift card,returned,trk87787793,5,freeship,facebook,2357.76
ord200073,2023-05-03,c17269,monitor,4,433.45,129 main st,gift card,cancelled,trk79608389,4,freeship,facebook,1733.8
ord200074,2023-06-24,c25382,phone,5,90.87,622 main st,cash,pending,trk64691287,5,freeship,instagram,454.35
ord200075,2023-09-26,c80651,tablet,3,398.17,917 main st,debit card,delivered,trk14846720,5,save10,email,1194.51
ord200076,2024-03-31,c58638,laptop,4,382.88,239 main st,cash,cancelled,trk38224871,6,winter15,email,1531.52
ord200077,2024-05-24,c50121,phone,1,583.18,348 main st,credit card,returned,trk79810059,5,freeship,google,583.18
ord200078,2024-08-06,c32029,printer,4,175.36,146 main st,debit card,delivered,trk68535532,4,freeship,instagram,701.44
ord200079,2025-03-10,c76700,tablet,2,311.91,103 main st,online,shipped,trk13036341,2,freeship,facebook,623.82
ord200080,2023-06-27,c29041,phone,3,589.56,591 main st,online,returned,trk28840655,6,freeship,facebook,1768.68
ord200081,2023-06-08,c29314,monitor,2,394.3,496 main st,cash,shipped,trk59876213,6,freeship,email,788.6
ord200082,2024-01-05,c65799,tablet,4,565.2,971 main st,debit card,shipped,trk66906607,9,save10,google,2260.8
ord200083,2023-08-22,c15681,laptop,4,540.41,989 main st,credit card,cancelled,trk75112172,6,freeship,referral,2161.64
ord200084,2023-08-28,c64160,monitor,2,165.49,967 main st,online,shipped,trk34121529,4,winter15,instagram,330.98
ord200085,2024-09-09,c14553,tablet,3,146.73,768 main st,cash,delivered,trk93538334,8,freeship,email,440.19
ord200086,2024-06-19,c88205,printer,5,643.03,447 main st,online,cancelled,trk93504166,5,freeship,referral,3215.15
ord200087,2024-10-10,c91245,tablet,3,225.11,915 main st,cash,shipped,trk46976391,4,save10,facebook,675.33
ord200088,2025-06-05,c75439,desk,3,114.81,318 main st,gift card,cancelled,trk19831653,7,freeship,google,344.43
ord200089,2025-02-25,c17181,printer,5,455.33,291 main st,credit card,cancelled,trk78912978,8,freeship,google,2276.65
ord200090,2023-09-18,c36540,chair,4,182.08,611 main st,gift card,delivered,trk35828122,4,save10,email,728.32
ord200091,2023-03-15,c98216,laptop,5,492.75,196 main st,cash,shipped,trk40986666,6,winter15,referral,2463.75
ord200092,2024-06-10,c29568,printer,4,48.61,203 main st,online,shipped,trk46531075,7,freeship,facebook,194.44
ord200093,2023-01-14,c97262,desk,4,431.01,837 main st,credit card,returned,trk65990229,7,freeship,referral,1724.04
ord200094,2023-02-11,c79821,chair,1,531.18,781 main st,gift card,returned,trk12780193,6,winter15,instagram,531.18
ord200095,2023-03-24,c76761,printer,4,117.51,839 main st,debit card,returned,trk60179774,7,freeship,referral,470.04
ord200096,2024-06-01,c93007,phone,2,232.83,103 main st,gift card,delivered,trk85696091,7,freeship,instagram,465.66
ord200097,2025-01-21,c15624,tablet,5,619.52,922 main st,debit card,pending,trk40621141,9,freeship,email,3097.6
ord200098,2023-01-14,c70921,printer,2,228.54,533 main st,debit card,pending,trk54983109,3,freeship,email,457.08
ord200099,2025-04-12,c30477,printer,1,201.58,717 main st,debit card,cancelled,trk51829648,2,winter15,email,201.58
ord200100,2023-02-17,c74866,phone,3,664.79,743 main st,online,delivered,trk53783265,6,freeship,facebook,1994.37
ord200101,2023-11-25,c15283,printer,1,381.02,152 main st,cash,shipped,trk19286291,6,freeship,google,381.02
ord200102,2023-03-08,c18037,laptop,2,70.34,944 main st,gift card,cancelled,trk47362236,3,freeship,email,140.68
ord200103,2025-01-25,c62656,phone,4,218.43,514 main st,credit card,cancelled,trk86296459,9,save10,email,873.72
ord200104,2024-07-30,c65744,phone,1,582.04,647 main st,gift card,delivered,trk39906058,1,freeship,email,582.04
ord200105,2024-10-24,c72290,printer,3,185.4,810 main st,gift card,cancelled,trk68792129,7,freeship,facebook,556.2
ord200106,2023-09-08,c73514,desk,3,465.05,126 main st,credit card,cancelled,trk96777924,3,save10,email,1395.15
ord200108,2024-12-28,c33099,laptop,5,48.38,522 main st,gift card,delivered,trk28522330,9,winter15,email,241.9
ord200109,2023-09-17,c51157,desk,3,592.87,131 main st,gift card,shipped,trk18674578,3,freeship,referral,1778.61
ord200110,2024-04-21,c74562,tablet,1,220.77,388 main st,gift card,pending,trk32062079,5,freeship,instagram,220.77
ord200111,2025-05-07,c95271,desk,3,309.22,620 main st,online,cancelled,trk74904969,7,freeship,google,927.66
ord200112,2023-01-01,c81366,monitor,1,410.6,423 main st,online,cancelled,trk17062206,2,winter15,referral,410.6
ord200113,2024-01-17,c65905,laptop,5,190.08,605 main st,cash,shipped,trk73954365,9,freeship,instagram,950.4
ord200114,2025-01-27,c77272,monitor,5,498.48,115 main st,online,pending,trk29708128,8,save10,google,2492.4
ord200115,2023-11-27,c32580,phone,5,374.99,122 main st,online,shipped,trk23670394,9,save10,facebook,1874.95
ord200116,2023-03-19,c47761,printer,4,291.35,109 main st,credit card,cancelled,trk66669207,6,winter15,facebook,1165.4
ord200117,2023-03-08,c49187,tablet,1,535.5,593 main st,gift card,cancelled,trk81888598,5,winter15,referral,535.5
ord200118,2023-10-09,c27898,printer,5,502.71,807 main st,gift card,shipped,trk61957665,7,freeship,google,2513.55
ord200119,2025-06-11,c14683,desk,2,534.67,187 main st,debit card,shipped,trk47373682,7,freeship,referral,1069.34
ord200120,2023-04-11,c58108,tablet,4,629.34,986 main st,cash,cancelled,trk66218053,4,winter15,instagram,2517.36
ord200121,2023-11-30,c89822,desk,1,410.78,673 main st,cash,cancelled,trk24138598,1,freeship,instagram,410.78
ord200122,2024-04-15,c96787,laptop,2,533.02,588 main st,gift card,shipped,trk30422853,2,freeship,facebook,1066.04
ord200123,2023-07-06,c86064,desk,3,278.04,727 main st,online,delivered,trk62182901,5,freeship,instagram,834.12
ord200124,2024-07-28,c97148,printer,4,283.79,563 main st,online,pending,trk85321126,8,freeship,google,1135.16
ord200125,2024-11-06,c91099,phone,2,512.65,758 main st,credit card,shipped,trk81846174,5,save10,email,1025.3
ord200126,2025-05-03,c55606,desk,4,275.5,353 main st,gift card,shipped,trk68250319,8,freeship,google,1102.0
ord200127,2023-08-10,c71486,desk,3,469.32,365 main st,debit card,shipped,trk73929833,3,freeship,google,1407.96
ord200128,2023-02-17,c86408,tablet,4,21.07,244 main st,gift card,delivered,trk41432648,4,freeship,google,84.28
ord200129,2023-10-27,c52751,laptop,4,263.93,427 main st,debit card,shipped,trk72481234,4,freeship,facebook,1055.72
ord200130,2025-01-22,c29059,desk,3,501.3,513 main st,online,cancelled,trk88360704,3,winter15,facebook,1503.9
ord200131,2023-01-08,c72862,tablet,1,84.8,606 main st,gift card,pending,trk51648833,5,freeship,instagram,84.8
ord200132,2023-03-28,c96257,tablet,4,450.75,583 main st,credit card,shipped,trk13137948,6,winter15,email,1803.0
ord200133,2025-06-20,c87432,chair,4,302.05,636 main st,debit card,cancelled,trk68969625,6,save10,google,1208.2
ord200134,2025-06-23,c16253,laptop,2,199.7,583 main st,cash,pending,trk17354894,4,freeship,email,399.4
ord200135,2023-08-04,c79909,printer,2,68.81,642 main st,gift card,shipped,trk86742257,5,save10,referral,137.62
ord200136,2024-04-27,c73370,laptop,1,44.35,595 main st,gift card,cancelled,trk67820278,1,save10,instagram,44.35
ord200137,2024-11-26,c50682,monitor,2,250.98,598 main st,credit card,delivered,trk12242337,5,freeship,google,501.96
ord200138,2023-12-21,c21905,tablet,1,298.06,478 main st,debit card,pending,trk31863841,3,winter15,google,298.06
ord200139,2023-04-10,c61440,phone,1,583.9,714 main st,cash,returned,trk33114521,1,freeship,email,583.9
ord200140,2025-05-31,c33110,chair,3,528.14,388 main st,online,delivered,trk38624225,3,freeship,email,1584.42
ord200141,2023-11-18,c80004,printer,3,684.14,151 main st,cash,cancelled,trk66230753,3,winter15,instagram,2052.42
ord200142,2023-09-06,c86374,desk,5,272.77,573 main st,cash,pending,trk79451491,7,winter15,email,1363.85
ord200143,2024-06-13,c66521,chair,4,400.07,933 main st,online,shipped,trk34654244,5,freeship,referral,1600.28
ord200144,2023-08-04,c63365,desk,5,219.78,895 main st,credit card,pending,trk80100887,8,freeship,facebook,1098.9
ord200145,2024-03-02,c85929,printer,3,146.91,798 main st,credit card,delivered,trk29318610,6,freeship,google,440.73
ord200146,2025-04-30,c84645,tablet,2,411.49,404 main st,credit card,returned,trk68893369,4,freeship,instagram,822.98
ord200147,2025-05-06,c46316,laptop,2,465.18,893 main st,credit card,cancelled,trk16196000,2,save10,google,930.36
ord200148,2024-12-15,c35100,phone,2,319.91,139 main st,credit card,cancelled,trk56853491,3,winter15,google,639.82
ord200149,2023-12-27,c39671,laptop,1,217.56,174 main st,debit card,delivered,trk47153818,3,freeship,facebook,217.56
ord200150,2023-12-13,c25503,phone,2,105.57,981 main st,debit card,returned,trk29878837,5,winter15,google,211.14
ord200151,2023-12-01,c32960,printer,5,444.76,947 main st,debit card,returned,trk91226500,7,freeship,email,2223.8
ord200152,2025-01-02,c77736,chair,2,399.04,659 main st,cash,cancelled,trk90329250,3,freeship,referral,798.08
ord200153,2024-12-18,c71570,chair,4,534.48,437 main st,online,returned,trk95992269,9,winter15,instagram,2137.92
ord200154,2023-07-20,c73587,phone,4,408.21,727 main st,credit card,pending,trk13955543,9,freeship,instagram,1632.84
ord200155,2023-02-27,c62740,phone,1,424.4,446 main st,online,shipped,trk20706408,6,winter15,referral,424.4
ord200156,2024-11-08,c58808,chair,2,269.83,651 main st,online,delivered,trk24451893,4,save10,email,539.66
ord200157,2025-02-21,c50422,monitor,2,564.58,636 main st,online,returned,trk71227815,4,winter15,facebook,1129.16
ord200158,2024-05-16,c23334,tablet,1,331.06,737 main st,credit card,pending,trk46335144,5,winter15,instagram,331.06
ord200159,2023-10-31,c48965,printer,1,299.35,819 main st,credit card,cancelled,trk50921780,5,winter15,email,299.35
ord200160,2023-02-17,c38669,monitor,4,101.32,240 main st,cash,pending,trk81738254,7,freeship,referral,405.28
ord200161,2024-03-29,c35091,monitor,1,211.14,513 main st,credit card,cancelled,trk53784452,1,save10,facebook,211.14
ord200162,2023-07-27,c82313,chair,3,65.86,917 main st,online,pending,trk79854624,8,winter15,google,197.58
ord200163,2025-06-24,c99589,tablet,1,641.39,277 main st,online,cancelled,trk16695001,1,freeship,referral,641.39
ord200164,2023-12-28,c70566,desk,5,536.58,667 main st,gift card,pending,trk49673411,5,save10,google,2682.9
ord200165,2024-09-14,c60355,monitor,2,500.29,226 main st,online,returned,trk30155194,7,winter15,google,1000.58
ord200166,2025-03-04,c28889,chair,3,86.29,565 main st,cash,delivered,trk23791726,6,winter15,instagram,258.87
ord200167,2023-05-27,c88304,chair,2,384.14,219 main st,online,returned,trk44268941,2,winter15,email,768.28
ord200168,2025-01-04,c49517,printer,1,594.96,878 main st,cash,returned,trk78551375,6,freeship,facebook,594.96
ord200169,2024-04-07,c35785,printer,1,427.82,732 main st,online,delivered,trk78923089,2,winter15,email,427.82
ord200170,2025-04-04,c80223,desk,4,662.94,535 main st,cash,cancelled,trk68632951,8,save10,instagram,2651.76
ord200171,2023-08-15,c20448,tablet,2,148.22,336 main st,credit card,delivered,trk67379895,7,winter15,instagram,296.44
ord200172,2025-04-06,c34134,printer,1,254.12,365 main st,online,delivered,trk43074303,1,winter15,email,254.12
ord200173,2024-03-24,c95901,phone,3,664.46,806 main st,online,delivered,trk56989066,4,freeship,google,1993.38
ord200174,2024-04-16,c51145,printer,4,600.81,790 main st,debit card,delivered,trk59154274,9,save10,email,2403.24
ord200175,2025-02-08,c78170,chair,5,68.34,332 main st,debit card,pending,trk71410605,6,winter15,referral,341.7
ord200176,2025-06-28,c80151,tablet,4,430.83,553 main st,gift card,pending,trk88251529,8,winter15,referral,1723.32
ord200177,2023-08-05,c55632,chair,5,431.69,354 main st,credit card,pending,trk13003066,10,freeship,facebook,2158.45
ord200178,2024-04-11,c53070,chair,4,512.06,283 main st,online,delivered,trk49791755,5,save10,google,2048.24
ord200179,2024-11-24,c27401,laptop,3,539.91,500 main st,credit card,delivered,trk14332053,8,freeship,email,1619.73
ord200180,2023-03-18,c87216,tablet,5,316.07,970 main st,cash,returned,trk18713727,10,freeship,google,1580.35
ord200181,2024-08-31,c38966,printer,5,404.39,247 main st,online,shipped,trk17205146,10,freeship,referral,2021.95
ord200182,2025-03-19,c16612,desk,1,600.54,596 main st,debit card,pending,trk96188223,4,winter15,google,600.54
ord200183,2024-04-18,c39246,monitor,5,186.28,258 main st,debit card,delivered,trk16658182,8,save10,email,931.4
ord200184,2024-04-04,c65180,tablet,4,214.54,231 main st,gift card,cancelled,trk39255469,7,freeship,referral,858.16
ord200185,2025-02-02,c46877,laptop,1,210.7,572 main st,online,shipped,trk96935978,2,winter15,referral,210.7
ord200186,2023-12-07,c30334,phone,2,133.55,322 main st,cash,pending,trk66388885,7,freeship,facebook,267.1
ord200187,2023-02-08,c21227,chair,1,590.87,689 main st,gift card,returned,trk79129657,6,freeship,referral,590.87
ord200188,2025-03-15,c97715,chair,2,363.91,927 main st,gift card,shipped,trk19515949,2,freeship,referral,727.82
ord200189,2023-07-05,c48939,printer,5,429.45,597 main st,gift card,cancelled,trk62786764,5,winter15,email,2147.25
ord200190,2024-08-31,c35483,printer,3,223.7,725 main st,cash,returned,trk79638203,3,save10,email,671.1
ord200191,2025-03-08,c51494,laptop,2,488.87,505 main st,online,cancelled,trk58520306,4,freeship,google,977.74
ord200192,2023-08-11,c58410,desk,1,645.46,151 main st,gift card,cancelled,trk19749672,5,save10,google,645.46
ord200193,2023-07-21,c11644,printer,1,46.66,429 main st,cash,cancelled,trk81320339,6,freeship,google,46.66
ord200194,2024-06-08,c53501,monitor,1,249.57,899 main st,cash,shipped,trk90144892,3,freeship,google,249.57
ord200195,2024-04-22,c63619,chair,3,619.21,801 main st,debit card,cancelled,trk65385674,6,freeship,email,1857.63
ord200196,2025-01-24,c40882,desk,4,217.13,719 main st,cash,delivered,trk64165503,8,winter15,email,868.52
ord200197,2023-08-27,c80135,laptop,5,221.51,723 main st,cash,returned,trk95222269,5,winter15,referral,1107.55
ord200198,2024-06-11,c37594,laptop,4,340.3,926 main st,cash,cancelled,trk94405162,8,save10,referral,1361.2
ord200199,2025-01-23,c87524,phone,1,625.0,358 main st,online,returned,trk21114341,5,winter15,google,625.0
ord200200,2025-06-07,c97681,tablet,5,433.26,895 main st,credit card,delivered,trk37531040,9,save10,google,2166.3
ord200201,2023-06-18,c10126,monitor,2,674.9,146 main st,online,shipped,trk75607531,4,save10,facebook,1349.8
ord200202,2025-02-06,c36938,monitor,3,253.98,636 main st,credit card,cancelled,trk52522904,3,freeship,email,761.94
ord200203,2025-01-21,c99173,printer,3,356.84,172 main st,online,shipped,trk89849342,5,save10,instagram,1070.52
ord200204,2023-09-05,c99775,laptop,4,413.71,478 main st,gift card,cancelled,trk21638425,9,freeship,facebook,1654.84
ord200205,2023-03-04,c19266,desk,3,147.39,609 main st,debit card,returned,trk58357269,3,freeship,email,442.17
ord200206,2024-04-16,c31072,laptop,4,229.1,729 main st,gift card,returned,trk77172975,8,winter15,email,916.4
ord200207,2025-03-18,c54595,phone,1,121.96,999 main st,debit card,delivered,trk44416659,3,freeship,google,121.96
ord200208,2024-10-08,c87777,desk,2,408.32,597 main st,online,shipped,trk29003608,3,freeship,facebook,816.64
ord200209,2023-08-29,c35854,tablet,5,187.97,706 main st,cash,returned,trk30615168,9,save10,google,939.85
ord200210,2024-12-05,c93821,chair,3,358.48,513 main st,gift card,delivered,trk10658539,7,freeship,facebook,1075.44
ord200211,2025-01-03,c54390,printer,3,193.58,185 main st,gift card,pending,trk83853742,7,freeship,email,580.74
ord200212,2023-06-20,c53215,monitor,1,265.38,367 main st,credit card,cancelled,trk34751835,6,winter15,email,265.38
ord200213,2023-04-20,c71122,laptop,1,634.4,317 main st,cash,cancelled,trk54757882,6,save10,email,634.4
ord200214,2024-08-21,c29483,desk,4,305.72,673 main st,online,delivered,trk89423603,5,freeship,facebook,1222.88
ord200215,2023-08-10,c26767,printer,1,303.6,432 main st,cash,shipped,trk24585307,5,freeship,facebook,303.6
ord200216,2025-04-15,c70492,monitor,4,496.0,811 main st,online,cancelled,trk84625405,8,winter15,google,1984.0
ord200217,2024-05-20,c61549,desk,4,321.51,908 main st,cash,returned,trk65596914,9,freeship,google,1286.04
ord200218,2023-04-28,c11665,tablet,3,112.46,882 main st,gift card,shipped,trk10993930,6,save10,instagram,337.38
ord200219,2025-05-02,c48946,laptop,5,61.97,457 main st,cash,delivered,trk99387220,6,save10,email,309.85
ord200220,2023-07-18,c79506,laptop,2,373.17,497 main st,credit card,pending,trk95188748,6,save10,referral,746.34
ord200221,2024-02-23,c93473,tablet,5,639.37,552 main st,debit card,pending,trk50003989,6,save10,google,3196.85
ord200222,2023-05-04,c43124,chair,4,693.36,931 main st,online,shipped,trk17293348,8,freeship,instagram,2773.44
ord200223,2024-09-11,c22783,phone,4,692.91,673 main st,credit card,pending,trk55009149,9,save10,instagram,2771.64
ord200224,2023-09-23,c18567,printer,4,91.46,507 main st,cash,cancelled,trk17554673,9,save10,referral,365.84
ord200225,2024-03-13,c99879,phone,3,273.96,692 main st,debit card,returned,trk50246700,8,save10,google,821.88
ord200226,2025-06-27,c31501,desk,3,588.05,242 main st,gift card,delivered,trk93063929,8,freeship,instagram,1764.15
ord200227,2023-11-02,c93220,monitor,2,365.17,353 main st,online,cancelled,trk89023251,4,freeship,facebook,730.34
ord200228,2023-05-17,c57867,chair,4,385.92,579 main st,credit card,cancelled,trk92055007,8,freeship,instagram,1543.68
ord200229,2025-03-28,c62622,tablet,1,562.61,762 main st,credit card,delivered,trk70997648,3,winter15,facebook,562.61
ord200230,2023-12-16,c94595,desk,4,61.91,948 main st,gift card,delivered,trk24497305,6,winter15,email,247.64
ord200231,2023-11-05,c30955,phone,4,41.9,327 main st,gift card,pending,trk46898848,9,freeship,instagram,167.6
ord200232,2023-05-19,c20731,printer,4,444.44,610 main st,debit card,cancelled,trk75568437,8,winter15,google,1777.76
ord200233,2024-08-24,c30168,phone,3,311.33,146 main st,cash,cancelled,trk73699939,3,winter15,instagram,933.99
ord200234,2024-11-26,c79842,printer,4,236.41,337 main st,debit card,pending,trk26957950,7,save10,google,945.64
ord200235,2023-02-20,c32854,desk,1,65.45,815 main st,cash,pending,trk30009218,2,winter15,google,65.45
ord200236,2023-01-01,c14847,monitor,1,318.81,562 main st,debit card,pending,trk39663243,3,winter15,email,318.81
ord200237,2024-03-14,c88645,monitor,3,583.72,783 main st,credit card,shipped,trk74097570,5,freeship,facebook,1751.16
ord200238,2024-12-13,c66149,desk,4,384.32,770 main st,credit card,pending,trk76307307,6,winter15,google,1537.28
ord200239,2024-12-11,c20256,tablet,3,538.74,456 main st,online,shipped,trk71127943,6,freeship,email,1616.22
ord200240,2023-07-12,c14983,tablet,1,17.24,255 main st,online,pending,trk93444157,2,freeship,instagram,17.24
ord200241,2023-05-16,c20817,chair,5,615.67,407 main st,online,pending,trk44164590,6,save10,email,3078.35
ord200242,2023-05-09,c94921,printer,2,219.1,134 main st,online,pending,trk97794327,4,save10,referral,438.2
ord200243,2025-05-09,c54725,chair,2,144.66,506 main st,online,cancelled,trk30601940,7,freeship,google,289.32
ord200244,2023-02-16,c98096,desk,2,317.77,838 main st,debit card,cancelled,trk51518631,4,winter15,facebook,635.54
